"Sex","Yr","date","yday","Site","Mass"
2,1994,1994-05-23,143,"Friese_kust",395
1,1994,1994-05-25,145,"Texel",371
1,1994,1994-05-25,145,"Texel",368
1,1994,1994-05-25,145,"Texel",376
1,1994,1994-05-25,145,"Texel",295
1,1994,1994-05-25,145,"Texel",347
2,1994,1994-05-25,145,"Texel",421
2,1994,1994-05-25,145,"Texel",475
2,1994,1994-05-25,145,"Texel",450
2,1994,1994-05-25,145,"Texel",392
2,1994,1994-05-25,145,"Texel",360
2,1994,1994-05-25,145,"Texel",376
2,1994,1994-05-25,145,"Texel",425
2,1994,1994-05-25,145,"Texel",342
1,1994,1994-05-25,145,"Texel",364
1,1994,1994-05-25,145,"Texel",376
1,1994,1994-05-25,145,"Texel",365
1,1994,1994-05-25,145,"Texel",355
1,1994,1994-05-25,145,"Texel",393
1,1994,1994-05-25,145,"Texel",344
1,1994,1994-05-25,145,"Texel",322
1,1994,1994-05-25,145,"Texel",355
1,1994,1994-05-25,145,"Texel",365
1,1994,1994-05-25,145,"Texel",345
1,1994,1994-05-25,145,"Texel",376
1,1994,1994-05-25,145,"Texel",336
1,1994,1994-05-25,145,"Texel",389
1,1994,1994-05-25,145,"Texel",316
1,1994,1994-05-25,145,"Texel",376
1,1994,1994-05-25,145,"Texel",331
1,1994,1994-05-25,145,"Texel",265
2,1995,1995-04-27,117,"Ijsselmeer_kust",250
2,1995,1995-05-06,126,"Friese_kust",228
1,1995,1995-05-09,129,"Texel",293
1,1995,1995-05-09,129,"Texel",240
2,1995,1995-05-09,129,"Texel",242
2,1995,1995-05-09,129,"Texel",220
2,1995,1995-05-09,129,"Texel",303
2,1995,1995-05-09,129,"Texel",380
1,1995,1995-05-09,129,"Texel",203
1,1995,1995-05-09,129,"Texel",214
1,1995,1995-05-09,129,"Texel",235
1,1995,1995-05-10,130,"Texel",268
1,1995,1995-05-10,130,"Texel",270
1,1995,1995-05-10,130,"Texel",203
1,1995,1995-05-10,130,"Texel",208
2,1995,1995-05-10,130,"Texel",263
2,1995,1995-05-10,130,"Texel",225
2,1995,1995-05-10,130,"Texel",256
2,1995,1995-05-10,130,"Texel",250
2,1995,1995-05-10,130,"Texel",235
2,1995,1995-05-10,130,"Texel",278
2,1995,1995-05-10,130,"Texel",306
2,1995,1995-05-10,130,"Texel",258
2,1995,1995-05-10,130,"Texel",315
2,1995,1995-05-10,130,"Texel",248
2,1995,1995-05-10,130,"Texel",287
2,1995,1995-05-10,130,"Texel",327
2,1995,1995-05-10,130,"Texel",370
2,1995,1995-05-10,130,"Texel",373
1,1995,1995-05-10,130,"Texel",281
1,1995,1995-05-10,130,"Texel",210
1,1995,1995-05-10,130,"Texel",283
1,1995,1995-05-10,130,"Texel",230
1,1995,1995-05-10,130,"Texel",320
1,1995,1995-05-10,130,"Texel",195
1,1995,1995-05-10,130,"Texel",265
1,1995,1995-05-10,130,"Texel",283
1,1995,1995-05-10,130,"Texel",260
1,1995,1995-05-10,130,"Texel",250
1,1995,1995-05-10,130,"Texel",190
1,1995,1995-05-10,130,"Texel",285
1,1995,1995-05-11,131,"Texel",230
2,1995,1995-05-11,131,"Texel",232
1,1995,1995-05-11,131,"Texel",210
1,1995,1995-05-16,136,"Friese_kust",255
1,1995,1995-05-19,139,"Texel",358
1,1995,1995-05-19,139,"Texel",355
1,1995,1995-05-19,139,"Texel",312
1,1995,1995-05-19,139,"Texel",293
1,1995,1995-05-19,139,"Texel",275
1,1995,1995-05-19,139,"Texel",340
1,1995,1995-05-19,139,"Texel",270
1,1995,1995-05-19,139,"Texel",305
