"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
429,"2005-04-24",24,4,2005,"04:00:00",2,187,2005-04-24,4,47.25,114
252,"2005-05-08",8,5,2005,"07:30:00",0,641,2005-05-08,7.5,85.4666666666667,128
71,"2005-05-08",8,5,2005,"03:00:00",0,12,2005-05-08,3,4,128
29,"2005-05-01",1,5,2005,"07:00:00",0,23,2005-05-01,7,3.28571428571429,121
71,"2005-05-03",3,5,2005,"12:00:00",50,4,2005-05-03,12,4.5,123
429,"2005-05-13",13,5,2005,"03:00:00",0,29,2005-05-13,3,9.66666666666667,133
429,"2005-05-12",12,5,2005,"05:00:00",0,214,2005-05-12,5,42.8,132
429,"2005-04-25",25,4,2005,"03:00:00",0,186,2005-04-25,3,62,115
29,"2005-05-11",11,5,2005,"09:00:00",0,50,2005-05-11,9,5.55555555555556,131
159,"2005-05-11",11,5,2005,"02:00:00",0,65,2005-05-11,2,32.5,131
429,"2005-04-28",28,4,2005,"01:00:00",10,0,2005-04-28,1,10,118
159,"2005-05-15",15,5,2005,"04:30:00",0,659,2005-05-15,4.5,146.444444444444,135
29,"2005-05-15",15,5,2005,"04:00:00",0,59,2005-05-15,4,14.75,135
252,"2005-05-06",6,5,2005,"02:00:00",0,15,2005-05-06,2,7.5,126
429,"2005-05-18",18,5,2005,"03:00:00",0,15,2005-05-18,3,5,138
252,"2005-05-05",5,5,2005,"02:00:00",0,3,2005-05-05,2,1.5,125
429,"2005-04-16",16,4,2005,"02:00:00",0,51,2005-04-16,2,25.5,106
71,"2005-04-26",26,4,2005,"07:00:00",14,228,2005-04-26,7,34.5714285714286,116
252,"2005-04-21",21,4,2005,"06:00:00",0,38,2005-04-21,6,6.33333333333333,111
71,"2005-05-05",5,5,2005,"03:45:00",0,22,2005-05-05,3.75,5.86666666666667,125
71,"2005-05-06",6,5,2005,"02:00:00",0,60,2005-05-06,2,30,126
1,"2005-04-29",29,4,2005,"10:45:00",0,39,2005-04-29,10.75,3.62790697674419,119
159,"2005-04-20",20,4,2005,"01:00:00",0,9,2005-04-20,1,9,110
1,"2005-04-22",22,4,2005,"12:45:00",0,13,2005-04-22,12.75,1.01960784313725,112
71,"2005-05-04",4,5,2005,"05:30:00",0,170,2005-05-04,5.5,30.9090909090909,124
29,"2005-04-23",23,4,2005,"08:00:00",0,437,2005-04-23,8,54.625,113
159,"2005-04-23",23,4,2005,"02:30:00",0,16,2005-04-23,2.5,6.4,113
97,"2005-05-11",11,5,2005,"01:00:00",0,32,2005-05-11,1,32,131
71,"2005-04-25",25,4,2005,"05:00:00",0,20,2005-04-25,5,4,115
1,"2005-05-15",15,5,2005,"08:50:00",0,85,2005-05-15,8.83333333333333,9.62264150943396,135
252,"2005-04-24",24,4,2005,"02:00:00",0,6,2005-04-24,2,3,114
71,"2005-05-12",12,5,2005,"15:00:00",0,216,2005-05-12,15,14.4,132
71,"2005-05-13",13,5,2005,"09:00:00",0,18,2005-05-13,9,2,133
97,"2005-05-10",10,5,2005,"01:00:00",0,8,2005-05-10,1,8,130
252,"2005-05-07",7,5,2005,"04:30:00",0,25,2005-05-07,4.5,5.55555555555556,127
71,"2005-04-30",30,4,2005,"03:00:00",0,5,2005-04-30,3,1.66666666666667,120
97,"2005-05-09",9,5,2005,"01:00:00",0,20,2005-05-09,1,20,129
1,"2005-04-23",23,4,2005,"15:00:00",0,109,2005-04-23,15,7.26666666666667,113
71,"2005-05-07",7,5,2005,"02:00:00",0,4,2005-05-07,2,2,127
429,"2005-05-17",17,5,2005,"03:00:00",0,44,2005-05-17,3,14.6666666666667,137
1,"2005-04-20",20,4,2005,"06:00:00",0,22,2005-04-20,6,3.66666666666667,110
252,"2005-05-12",12,5,2005,"02:00:00",0,36,2005-05-12,2,18,132
252,"2005-05-13",13,5,2005,"06:00:00",0,21,2005-05-13,6,3.5,133
71,"2005-04-24",24,4,2005,"01:00:00",0,2,2005-04-24,1,2,114
29,"2005-04-22",22,4,2005,"08:00:00",0,79,2005-04-22,8,9.875,112
252,"2005-04-25",25,4,2005,"06:00:00",0,59,2005-04-25,6,9.83333333333333,115
29,"2005-05-10",10,5,2005,"09:00:00",0,32,2005-05-10,9,3.55555555555556,130
1,"2005-04-18",18,4,2005,"05:45:00",0,1,2005-04-18,5.75,0.173913043478261,108
159,"2005-05-10",10,5,2005,"02:00:00",0,49,2005-05-10,2,24.5,130
1,"2005-05-14",14,5,2005,"15:30:00",0,288,2005-05-14,15.5,18.5806451612903,134
71,"2005-04-16",16,4,2005,"04:00:00",0,2,2005-04-16,4,0.5,106
429,"2005-05-05",5,5,2005,"02:00:00",0,27,2005-05-05,2,13.5,125
