code,ch,SEX
L4RLBL,000000000010001,f
L4RLBR,000000000010101,f
L4RLBY,000000000010000,m
L4RLLB,000000000010100,m
L4RLLL,000000000010000,f
L4RLLR,000000000010010,f
L4RLLY,000000000010000,m
L4RLRB,000000000010001,f
L4RLRL,000000000011000,f
L4RLRR,000000000010000,f
L4RLRY,000000000010001,f
L4RLYB,000000000011000,m
L4RLYL,000000000010000,m
L4RLYR,000000000010000,m
L4RLYY,000000000010000,m
L4RRBB,000000000011100,m
L4RRBL,000000000010000,f
L4RRBR,000000000010100,f
L4RRBY,000000000010000,m
L4RRLB,000000000010000,f
L4RRLL,000000000010000,m
L4RRLR,000000000010000,f
L4RRLY,000000000010001,f
L4RRRB,000000000011000,f
L4RRRL,000000000010001,f
L4RRRR,000000000010000,f
L4RRRY,000000000010100,m
L4RRYB,000000000011000,f
L4RRYL,000000000011100,m
L4RRYR,000000000010001,m
L4RRYY,000000000010100,m
L4YBBB,000000000110000,f
L4YBBL,000000000100001,m
L4YBBR,000000000100000,f
L4YBBY,000000000100000,f
L4YBLB,000000000111111,f
L4YBLL,000000000111110,f
L4YBLR,000000000110000,m
L4YBLY,000000000100100,f
L4YBRB,000000000111011,f
L4YBRL,000000000100000,m
L4YBRR,000000000101100,f
L4YBRY,000000000110110,m
L4YBYB,000000000101000,f
L4YBYL,000000000100000,f
L4YBYR,000000000100000,m
L4YBYY,000000000100100,f
L4YLBB,000000000100000,f
L4YLBL,000000000100001,f
L4YLBR,000000000111100,f
L4YLBY,000000000100001,f
L4YLLB,000000000101000,f
L4YLLL,000000000100100,f
L4YLLR,000000000100000,f
L4YLLY,000000000100000,m
L4YLRB,000000000100000,m
L4YLRY,000000000100000,f
L4YLYB,000000000111000,m
L4YLYL,000000000100000,f
L4YLYR,000000000100000,m
L4YLYY,000000000100010,f
L4YRBB,000000000110100,f
L4YRBL,000000000101000,f
L4YRBR,000000000100101,f
L4YRBY,000000000101000,f
L4YRLB,000000000100000,m
L4YRLL,000000000100000,f
L4YRLR,000000000100100,f
L4YRRB,000000000111011,m
L4YRRL,000000000100101,f
L4YRRR,000000000100000,f
L4YRRY,000000000100000,f
L4YRYL,000000000111000,f
L4YRYR,000000000110000,f
L4YRYY,000000000100000,f
L4YYBB,000000000100000,m
L4YYBL,000000000100000,f
L4YYBR,000000000111110,m
L4YYBY,000000000111111,f
L4YYLB,000000000100101,f
L4YYLL,000000000110010,f
L4YYLR,000000000110100,f
L4YYLY,000000000100101,f
L4YYRB,000000000100000,f
L4YYRL,000000000110000,f
L4YYRR,000000000101000,f
L4YYRY,000000000101000,m
L4YYYB,000000000101110,f
L4YYYL,000000000100000,m
L4YYYR,000000000100000,f
L4YYYY,000000000111000,f
L5BBBB,000000000011000,f
L5BBBL,000000000011001,m
L5BBBR,000000000010000,f
L5BBBY,000000000011000,m
L5BBLB,000000000011000,f
L5BBLL,000000000010100,m
L5BBLR,000000000010100,f
L5BBLY,000000000010111,f
L5BBRB,000000000010000,f
L5BBRL,000000000010000,f
L5BBRR,000000000010010,f
L5BBRY,000000000010000,f
L5BBYB,000000000010000,f
L5BBYL,000000000011010,f
L5BBYR,000000000011111,f
L5BBYY,000000000010100,f
L5BLBB,000000000010000,m
L5BLBL,000000000010000,f
L5BLBR,000000000011000,f
L5BLBY,000000000010000,m
L5BLLB,000000000010010,f
L5BLLL,000000000010000,f
L5BLLR,000000000010000,m
L5BLLY,000000000010000,m
L5BLRB,000000000010010,f
L5BLRL,000000000011110,f
L5BLRR,000000000010010,f
L5BLRY,000000000011101,f
L5BLYB,000000000010000,f
L5BLYL,000000000011110,f
L5BLYR,000000000010001,f
L5BRLL,000000000010000,m
L5BRYB,000000000010000,f
L5BRYL,000000000011001,m
L5BRYR,000000000011000,m
L5BRYY,000000000010000,f
L5BYBB,000000000011111,f
L5BYBL,000000000011001,f
L5BYBY,000000000010111,m
L5BYLB,000000000011100,f
L5BYLL,000000000010000,m
L5BYLR,000000000011000,f
L5BYLY,000000000010000,m
L5BYRB,000000000011111,f
L5BYRL,000000000011100,f
L5BYRR,000000000010101,f
L5BYRY,000000000010001,f
L5BYYB,000000000011000,f
L5BYYL,000000000011000,f
L5BYYR,000000000010100,f
L5BYYY,000000000010000,m
L5LBBB,000000000010010,f
L5LBBL,000000000010000,f
L5LBBR,000000000010001,f
L5LBBY,000000000010000,f
L5LBLB,000000000010000,f
L5LBLL,000000000010100,f
L5LBLR,000000000010000,m
L5LBLY,000000000010000,f
L5LBRB,000000000010101,f
L5LBRL,000000000011000,m
L5LBRR,000000000011011,f
L5LBRY,000000000010000,f
L5LBYB,000000000010010,m
L5LBYL,000000000010010,f
L5LBYR,000000000010000,f
L5LBYY,000000000010101,m
L5LLBB,000000000010000,m
L5LLBL,000000000010000,f
L5LLBR,000000000010100,m
L5LLBY,000000000011000,f
L5LLLB,000000000011111,f
L5LLLL,000000000010000,f
L5LLLR,000000000010000,f
L5LLLY,000000000010010,f
L5LLRB,000000000010010,f
L5LLRL,000000000010000,f
L5LLRR,000000000010011,m
L5LLRY,000000000010000,f
L5LLYB,000000000010001,f
L5LLYL,000000000010000,f
L5LLYR,000000000011001,m
L5LLYY,000000000010001,f
L5LRBB,000000000011101,f
L5LRBL,000000000010011,f
L5LRBR,000000000010000,f
L5LRBY,000000000010100,m
L5LRLB,000000000010000,f
L5LRLL,000000000011100,m
L5LRLR,000000000010000,f
L5LRLY,000000000010000,f
L5LRRB,000000000010000,m
L5LRRL,000000000011100,f
L5LRRR,000000000010000,f
L5LRRY,000000000010010,m
L5LRYB,000000000010000,m
L5LRYL,000000000011000,f
L5LRYR,000000000010000,f
L5LRYY,000000000011111,f
L5LYBL,000000000010001,m
L5LYBR,000000000010110,f
L5LYBY,000000000010001,m
L5LYLB,000000000010101,f
L5LYLL,000000000011011,m
L5LYLR,000000000010111,f
L5LYRL,000000000010000,f
L5LYYB,000000000010000,m
L5LYYL,000000000010000,f
L5LYYR,000000000010000,m
L5LYYY,000000000010000,f
